Wiki,dbname,DP-means (4 clusters),DP-means (5 clusters),Hierarchical (10 clusters),Hierarchical (4 clusters),Hierarchical (5 clusters),k-means (4 clusters),k-means (5 clusters),k-means (10 clusters),Model-based (4 clusters)
English Wikipedia,enwiki,3,5,1,1,1,1,4,9,1
Spanish Wikipedia,eswiki,2,5,1,1,1,1,4,9,1
German Wikipedia,dewiki,2,5,1,1,1,1,4,9,1
Japanese Wikipedia,jawiki,2,5,1,1,1,1,4,9,1
French Wikipedia,frwiki,3,3,2,2,2,1,1,10,3
Russian Wikipedia,ruwiki,3,3,2,2,2,1,1,10,3
Wikimedia Commons,commonswiki,3,3,2,2,2,1,1,9,4
Italian Wikipedia,itwiki,2,5,1,1,1,1,4,9,1
Chinese Wikipedia,zhwiki,3,3,2,2,2,1,1,10,3
Portuguese Wikipedia,ptwiki,3,3,2,2,2,1,1,10,3
Polish Wikipedia,plwiki,3,3,2,2,2,1,1,10,3
Dutch Wikipedia,nlwiki,2,5,1,1,1,1,4,9,1
Arabic Wikipedia,arwiki,3,3,2,2,2,1,1,10,3
Persian Wikipedia,fawiki,3,3,2,2,2,1,1,10,3
Korean Wikipedia,kowiki,2,5,1,1,1,1,4,9,1
Indonesian Wikipedia,idwiki,3,3,2,2,2,1,1,10,3
Swedish Wikipedia,svwiki,2,5,1,1,1,1,4,9,1
English Wiktionary,enwiktionary,2,5,1,1,1,1,4,9,7
Ukrainian Wikipedia,ukwiki,2,5,1,1,1,1,4,9,1
Wikidata,wikidatawiki,3,3,2,2,2,1,1,10,3
Czech Wikipedia,cswiki,2,5,1,1,1,1,4,9,1
Hebrew Wikipedia,hewiki,3,3,2,2,2,1,1,10,3
Vietnamese Wikipedia,viwiki,2,5,1,1,1,1,4,9,4
Thai Wikipedia,thwiki,2,5,1,1,1,1,4,9,1
Hungarian Wikipedia,huwiki,2,5,1,1,1,1,4,9,1
Finnish Wikipedia,fiwiki,3,3,2,2,2,1,1,10,3
Turkish Wikipedia,trwiki,2,5,1,1,1,1,4,9,1
