overall size rank,monthly unique devices,mobile unique devices,monthly pageviews,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority mobile editors,monthly new active editors,second month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly structured discussions messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,language name,domain name,wiki name
1,809352576.0000,0.6963,7413413269.6667,0.6058,0.0215,5972.8320,135505.6667,32804.5833,423.5833,0.2612,4946.4167,0.0746,4500923.0000,0.1755,0.1441,0.0830,0.1705,0.1101,0.9543,0.0000,6438874,655224211,101.7607,left-to-right,enwiki,wikipedia,en,English,en.wikipedia.org,English Wikipedia
2,157325106.5000,0.7089,953975033.5833,0.6510,0.0067,8881.4410,17713.9167,4644.3333,50.1667,0.3007,1036.5833,0.0517,640597.8333,0.1036,0.2399,0.1455,0.2706,0.1867,0.9588,0.0000,1745095,94772615,54.3080,left-to-right,eswiki,wikipedia,es,Spanish,es.wikipedia.org,Spanish Wikipedia
3,107537010.6667,0.7342,1103630286.9167,0.6539,0.0094,6914.9334,15551.4167,5389.3333,34.0000,0.2966,876.5000,0.1085,454635.2500,0.1154,0.2326,0.1343,0.2416,0.0680,0.9384,0.0000,1309198,66956406,51.1431,left-to-right,jawiki,wikipedia,ja,Japanese,ja.wikipedia.org,Japanese Wikipedia
4,104721600.9167,0.6056,924580894.7500,0.5285,0.0449,5262.0394,19901.3333,5523.8333,129.5000,0.1478,434.0000,0.0728,782159.0833,0.1218,0.0504,0.0988,0.0894,0.0752,0.9600,0.0000,2653479,134182420,50.5685,left-to-right,dewiki,wikipedia,de,German,de.wikipedia.org,German Wikipedia
5,94240728.9167,0.6539,716812563.5000,0.6035,0.0165,4663.2088,20209.4167,5199.3333,98.4167,0.1793,782.0000,0.0575,738161.5833,0.2061,0.0989,0.1576,0.1253,0.0701,0.9592,4110.9167,2389363,110040129,46.0542,left-to-right,frwiki,wikipedia,fr,French,fr.wikipedia.org,French Wikipedia
6,99008180.2500,0.6547,825617629.1667,0.5714,0.0144,8018.5881,12347.3333,3630.8333,107.7500,0.2961,543.9167,0.0615,506692.3333,0.1999,0.1060,0.1504,0.1862,0.1047,0.9602,0.0000,1786240,72128426,40.3800,left-to-right,ruwiki,wikipedia,ru,Russian,ru.wikipedia.org,Russian Wikipedia
7,22147646.9167,0.5095,98071579.0833,0.3333,0.0000,544.8398,40649.8333,14311.0000,152.9167,0.1600,3653.9167,0.0331,4256382.6667,0.4620,0.0205,0.0006,0.0125,0.0137,0.9797,0.0000,77861123,284536774,3.6544,left-to-right,commonswiki,commons,en,English,commons.wikimedia.org,Wikimedia Commons
8,52271010.1667,0.6084,534928104.1667,0.5833,0.0101,6017.6728,8686.2500,3036.1667,43.3333,0.3081,397.6667,0.0963,423575.0000,0.1355,0.1727,0.0489,0.1676,0.0682,0.9582,1892.2500,1249789,40828105,32.6680,left-to-right,zhwiki,wikipedia,zh,Chinese,zh.wikipedia.org,Chinese Wikipedia
9,56879812.4167,0.7269,290336082.9167,0.6389,0.0051,5347.3966,10636.9167,2355.9167,75.9167,0.3843,616.4167,0.0497,201827.0833,0.0635,0.1417,0.1813,0.0037,0.0808,0.9301,221.3333,1081204,36347601,33.6177,left-to-right,ptwiki,wikipedia,pt,Portuguese,pt.wikipedia.org,Portuguese Wikipedia
10,52067249.0833,0.6969,541613094.1667,0.6946,0.0209,5612.8623,9276.4167,2556.9167,102.1667,0.2954,305.7500,0.0774,442428.8333,0.2575,0.1970,0.1532,0.2708,0.1217,0.9652,0.0000,1735884,65728486,37.8646,left-to-right,itwiki,wikipedia,it,Italian,it.wikipedia.org,Italian Wikipedia
11,5009258.0833,0.5177,16636451.5833,0.2724,0.0000,200.3550,25001.9167,12204.9167,52.4167,0.1641,1367.5000,0.0540,10441250.8333,0.4329,0.0059,0.0000,0.0115,0.0103,0.9900,1111.1667,96606859,655937314,6.7898,left-to-right,wikidatawiki,wikidata,en,English,www.wikidata.org,Wikidata
12,29138324.9167,0.8574,198214585.4167,0.8659,0.0065,4549.4275,6404.8333,1715.4167,34.7500,0.5625,534.0000,0.0712,180675.0000,0.2944,0.3402,0.1857,0.1454,0.1692,0.9392,322.1667,852885,11562934,13.5574,right-to-left,fawiki,wikipedia,fa,Persian,fa.wikipedia.org,Persian Wikipedia
13,47207716.5000,0.8535,224358482.4167,0.8554,0.0064,6586.5105,7167.3333,983.0000,26.5000,0.4899,321.2500,0.0403,129767.8333,0.6226,0.2718,0.2327,0.1032,0.1762,0.9313,1230.6667,1153470,13534684,11.7339,right-to-left,arwiki,wikipedia,ar,Arabic,ar.wikipedia.org,Arabic Wikipedia
14,28140305.7500,0.6280,256796006.9167,0.5799,0.0081,5976.5963,4708.4167,1315.9167,76.5833,0.1953,143.7500,0.0798,199253.0000,0.3931,0.0723,0.1616,0.1344,0.0873,0.9604,247.9167,1505044,32792709,21.7885,left-to-right,plwiki,wikipedia,pl,Polish,pl.wikipedia.org,Polish Wikipedia
15,31328865.3333,0.8276,117702735.4167,0.8014,0.0044,9660.2098,3243.0833,914.4167,26.5833,0.4395,253.6667,0.0613,102952.2500,0.3355,0.4226,0.1660,0.1584,0.0836,0.9443,129.8333,611704,7383409,12.0702,left-to-right,idwiki,wikipedia,id,Indonesian,id.wikipedia.org,Indonesian Wikipedia
16,22797486.5000,0.6073,144384414.4167,0.5804,0.0231,5298.2500,4302.8333,1231.5000,28.5000,0.1702,149.5000,0.0497,173732.7500,0.2643,0.0731,0.1414,0.1298,0.0874,0.9627,0.0000,2077778,31408026,15.1162,left-to-right,nlwiki,wikipedia,nl,Dutch,nl.wikipedia.org,Dutch Wikipedia
17,26526220.6667,0.7625,131723116.2500,0.6951,0.0176,6991.1631,3794.2500,906.9167,16.8333,0.3843,259.7500,0.0565,129488.0000,0.3251,0.1937,0.1594,0.1167,0.1266,0.9554,0.0000,464648,14015187,30.1630,left-to-right,trwiki,wikipedia,tr,Turkish,tr.wikipedia.org,Turkish Wikipedia
18,20497726.3333,0.6630,79506321.4167,0.5811,0.0065,8609.7769,2380.7500,843.0000,13.4167,0.2858,190.2500,0.1043,169347.1667,0.2453,0.3155,0.0900,0.3334,0.1071,0.9670,0.0000,573165,18150806,31.6677,left-to-right,kowiki,wikipedia,ko,Korean,ko.wikipedia.org,Korean Wikipedia
19,13242822.1667,0.6080,74249943.8333,0.5691,0.0065,3956.2305,3347.3333,1093.0000,32.4167,0.1968,193.9167,0.0773,174379.9167,0.4486,0.0604,0.1333,0.0814,0.0659,0.9617,0.0000,1132392,16897156,14.9216,left-to-right,ukwiki,wikipedia,uk,Ukrainian,uk.wikipedia.org,Ukrainian Wikipedia
20,19250476.5833,0.6710,78634899.7500,0.6347,0.0055,7077.5979,2719.9167,751.8333,20.9167,0.2695,195.4167,0.0777,112279.5833,0.6215,0.2541,0.2193,0.2339,0.1400,0.9590,0.0000,1269886,11584500,9.1225,left-to-right,viwiki,wikipedia,vi,Vietnamese,vi.wikipedia.org,Vietnamese Wikipedia
21,12206035.1667,0.5630,55238739.7500,0.3899,0.0000,6589.5457,1852.3333,627.1667,36.0833,0.2225,35.5000,0.0679,177541.3333,0.4185,0.0762,0.0038,0.1036,0.0280,0.9717,0.0000,6916532,18232741,2.6361,left-to-right,enwiktionary,wiktionary,en,English,en.wiktionary.org,English Wiktionary
22,7437901.8333,0.6267,66212154.1667,0.6583,0.0219,2214.2104,3359.1667,990.6667,32.8333,0.2853,129.2500,0.0907,187573.2500,0.1480,0.1229,0.1761,0.1172,0.1384,0.9663,83.4167,309586,17304288,55.8949,right-to-left,hewiki,wikipedia,he,Hebrew,he.wikipedia.org,Hebrew Wikipedia
