overall size rank,monthly unique devices,mobile unique devices,monthly pageviews,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,majority mobile editors,monthly active editors,monthly active administrators,monthly new active editors,second month new editor retention,bot edits,monthly nonbot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,content pages,all time content edits,all time edits per content page,script direction,database code,project code,language code,language name,domain name,wiki name
1,806906020.8333,0.7015,7244414106.5833,0.6150,0.0230,6377.9096,126515.7500,0.2669,31491.7500,408.1667,4522.9167,0.0774,0.2459,4246871.0833,0.1518,0.0924,0.1621,0.1045,0.9539,6614510,696533897,105.3039,left-to-right,enwiki,wikipedia,en,English,en.wikipedia.org,English Wikipedia
2,145458595.5833,0.7365,842507982.5000,0.6895,0.0074,9270.8329,15689.9167,0.3233,4319.1667,46.4167,916.2500,0.0492,0.1117,563508.9167,0.2611,0.1648,0.2655,0.1668,0.9576,1837386,101324297,55.1459,left-to-right,eswiki,wikipedia,es,Spanish,es.wikipedia.org,Spanish Wikipedia
3,102381468.8333,0.7442,994408311.0833,0.6627,0.0101,6680.9011,15324.5000,0.3004,5330.2500,32.5833,857.8333,0.1064,0.0917,442413.9167,0.2628,0.1511,0.2387,0.0691,0.9370,1361481,71951024,52.8476,left-to-right,jawiki,wikipedia,ja,Japanese,ja.wikipedia.org,Japanese Wikipedia
4,97089161.9167,0.6266,816103699.0000,0.5496,0.0491,5272.5254,18414.1667,0.1619,5134.9167,130.7500,355.4167,0.0757,0.1500,699083.4167,0.0555,0.1101,0.0898,0.0726,0.9592,2769985,141779143,51.1841,left-to-right,dewiki,wikipedia,de,German,de.wikipedia.org,German Wikipedia
5,93493819.8333,0.6784,754624079.7500,0.5366,0.0156,5045.4700,18530.2500,0.2023,4933.5000,94.1667,670.7500,0.0620,0.1954,707189.2500,0.1102,0.1723,0.1195,0.0614,0.9602,2492047,117511241,47.1545,left-to-right,frwiki,wikipedia,fr,French,fr.wikipedia.org,French Wikipedia
6,107290240.4167,0.7166,909630336.3333,0.6418,0.0143,9074.2576,11823.5833,0.3695,3462.1667,89.9167,552.6667,0.0610,0.2927,500737.0000,0.1424,0.1573,0.1820,0.1220,0.9613,1892103,77248137,40.8266,left-to-right,ruwiki,wikipedia,ru,Russian,ru.wikipedia.org,Russian Wikipedia
7,26360628.0833,0.5614,107737115.6667,0.3567,0.0000,686.0385,38424.4167,0.1721,13803.4167,137.3333,3252.0833,0.0412,0.5730,3647724.9167,0.0273,0.0008,0.0154,0.0158,0.9767,88586704,324475197,3.6628,left-to-right,commonswiki,commons,en,English,commons.wikimedia.org,Wikimedia Commons
8,49017654.4167,0.7197,423974737.4167,0.6839,0.0148,5581.2342,8782.5833,0.3630,3104.7500,31.2500,418.0833,0.1029,0.1457,414943.5833,0.2026,0.0757,0.1557,0.0649,0.9567,1334189,45014937,33.7396,left-to-right,zhwiki,wikipedia,zh,Chinese,zh.wikipedia.org,Chinese Wikipedia
9,48293382.2500,0.7129,469523445.5833,0.7245,0.0223,5626.9598,8582.5000,0.3216,2375.0833,107.0833,266.1667,0.0915,0.2401,407536.6667,0.2243,0.1544,0.2855,0.1219,0.9655,1795031,70147001,39.0784,left-to-right,itwiki,wikipedia,it,Italian,it.wikipedia.org,Italian Wikipedia
10,51214531.5000,0.7440,247491967.5000,0.6681,0.0060,5537.0553,9249.4167,0.3976,2095.0000,72.0833,522.9167,0.0447,0.0782,174867.1667,0.1551,0.1959,0.0028,0.0772,0.9290,1100454,37887972,34.4294,left-to-right,ptwiki,wikipedia,pt,Portuguese,pt.wikipedia.org,Portuguese Wikipedia
11,6886292.0000,0.6108,22749433.5000,0.3504,0.0000,282.6585,24362.5833,0.1543,12266.5833,51.3333,1504.1667,0.0580,0.4246,12099545.7500,0.0057,0.0000,0.0118,0.0080,0.9909,101883954,811712307,7.9670,left-to-right,wikidatawiki,wikidata,en,English,www.wikidata.org,Wikidata
12,25562555.5833,0.8874,209919987.7500,0.8775,0.0083,4271.9364,5983.8333,0.6331,1606.7500,34.4167,513.0000,0.0718,0.2225,157908.0833,0.3453,0.2161,0.1291,0.1725,0.9351,950490,13062693,13.7431,right-to-left,fawiki,wikipedia,fa,Persian,fa.wikipedia.org,Persian Wikipedia
13,45183426.6667,0.8774,215046323.0833,0.8712,0.0065,7937.8257,5692.1667,0.5496,840.6667,24.8333,271.1667,0.0332,0.7028,108137.2500,0.2975,0.2440,0.1068,0.1884,0.9307,1200647,14568805,12.1341,right-to-left,arwiki,wikipedia,ar,Arabic,ar.wikipedia.org,Arabic Wikipedia
14,25774470.0833,0.6540,224491355.5000,0.6236,0.0099,5816.6330,4431.1667,0.2247,1243.0000,72.9167,136.1667,0.0730,0.3490,180075.0000,0.0801,0.1789,0.1354,0.0897,0.9584,1554702,34649539,22.2869,left-to-right,plwiki,wikipedia,pl,Polish,pl.wikipedia.org,Polish Wikipedia
