overall size rank	monthly unique devices	mobile unique devices	monthly pageviews	mobile web pageviews	mobile app pageviews	unique devices per editor	monthly editors	majority mobile editors	monthly active editors	monthly active administrators	monthly new active editors	second month new editor retention	bot edits	monthly nonbot edits	mobile edits	visual edits	anonymous edits	revert rate	edits Gini coefficient	content pages	all time content edits	all time edits per content page	script direction	database code	project code	language code	language name	domain name	wiki name
1	888600045.6667	0.7375	7689967366.5833	0.6545	0.0234	7029.5029	126410.0833	0.2680	31195.5000	398.0000	4254.9167	0.0768	0.2144	4243105.6667	0.1609	0.1072	0.1513	0.0985	0.9548	6792544	733834743	108.0353	left-to-right	enwiki	wikipedia	en	English	en.wikipedia.org	English Wikipedia
2	138177984.1667	0.7432	878871523.0000	0.7280	0.0071	8854.5832	15605.2500	0.3297	4342.4167	44.2500	885.7500	0.0487	0.2115	586064.8333	0.2573	0.1722	0.2503	0.1535	0.9596	1936291	107569636	55.5545	left-to-right	eswiki	wikipedia	es	Spanish	es.wikipedia.org	Spanish Wikipedia
3	100333380.0000	0.6458	813940321.3333	0.5731	0.0494	5468.0819	18348.9167	0.1728	5150.6667	124.9167	362.9167	0.0703	0.1486	733395.1667	0.0620	0.1131	0.0894	0.0721	0.9607	2888302	149301345	51.6917	left-to-right	dewiki	wikipedia	de	German	de.wikipedia.org	German Wikipedia
4	100736897.1667	0.7434	921230667.2500	0.6591	0.0106	7068.8426	14250.8333	0.2887	4934.6667	29.9167	676.0833	0.0972	0.1587	379502.6667	0.2539	0.1527	0.2071	0.0593	0.9351	1406455	75862906	53.9391	left-to-right	jawiki	wikipedia	ja	Japanese	ja.wikipedia.org	Japanese Wikipedia
5	97442960.5833	0.7038	718458827.5000	0.6042	0.0168	5314.6599	18334.7500	0.2087	4907.7500	87.8333	636.2500	0.0615	0.2325	707922.5000	0.1142	0.1846	0.1185	0.0613	0.9605	2596206	124258542	47.8616	left-to-right	frwiki	wikipedia	fr	French	fr.wikipedia.org	French Wikipedia
6	32009036.4167	0.6528	128199479.5833	0.4004	0.0000	824.5431	38820.3333	0.1711	14370.3333	140.7500	3262.8333	0.0393	0.5414	4516682.4167	0.0398	0.0009	0.0138	0.0150	0.9800	101172907	370415689	3.6612	left-to-right	commonswiki	commons	en	English	commons.wikimedia.org	Wikimedia Commons
7	103375629.5833	0.7280	899604899.7500	0.6792	0.0143	9340.1867	11067.8333	0.3847	3208.5000	87.0000	457.2500	0.0586	0.2885	455344.5000	0.1474	0.1564	0.1771	0.1071	0.9615	1967542	81459552	41.4017	left-to-right	ruwiki	wikipedia	ru	Russian	ru.wikipedia.org	Russian Wikipedia
8	12447850.3333	0.7652	38235791.0000	0.4724	0.0000	503.4554	24724.8333	0.1341	12402.9167	53.1667	1404.5000	0.0587	0.5207	9690088.0833	0.0058	0.0000	0.0141	0.0199	0.9885	108719190	927859982	8.5345	left-to-right	wikidatawiki	wikidata	en	English	www.wikidata.org	Wikidata
9	49723445.3333	0.6581	401992424.0000	0.5920	0.0160	6077.2368	8181.9167	0.2852	2756.0833	27.1667	328.6667	0.0853	0.1264	361471.2500	0.1713	0.0721	0.1404	0.0693	0.9572	1407643	48350436	34.3485	left-to-right	zhwiki	wikipedia	zh	Chinese	zh.wikipedia.org	Chinese Wikipedia
10	50163524.2500	0.7239	475154181.7500	0.7385	0.0212	6096.4380	8228.3333	0.3315	2316.0000	109.0000	265.4167	0.0735	0.1791	396493.5833	0.2305	0.1679	0.2851	0.1120	0.9662	1852002	74045846	39.9815	left-to-right	itwiki	wikipedia	it	Italian	it.wikipedia.org	Italian Wikipedia
11	47215798.8333	0.7490	238816788.6667	0.7035	0.0063	5166.3134	9139.1667	0.3938	2151.6667	69.8333	531.3333	0.0475	0.0922	165496.4167	0.1776	0.2283	0.0036	0.0839	0.9245	1120058	39215935	35.0124	left-to-right	ptwiki	wikipedia	pt	Portuguese	pt.wikipedia.org	Portuguese Wikipedia
12	27346113.6667	0.9036	244922667.8333	0.8959	0.0071	4685.6962	5836.0833	0.6324	1572.3333	31.4167	501.5000	0.0712	0.2235	147791.0833	0.4171	0.2477	0.1747	0.1974	0.9325	994883	14437828	14.5121	right-to-left	fawiki	wikipedia	fa	Persian	fa.wikipedia.org	Persian Wikipedia
